"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",35,0.7429,0.5472,1,1,1,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national","xgboost","any_error",137,0.6423,0.5433,4,4,2,"core"
"medical_deductions > 128.000 & total_deductions_by_hh_size > 627.000 & unc_rawben_rel_max >   0.158 & utilities <= 548.000","2-3","national","ranger","any_error",36,0.7222,0.5287,2,1,3,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 589.000 & utilities < 452.000","1","national","xgboost","any_error",204,0.5735,0.4921,3,3,4,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 360.000","1","national","xgboost","any_error",144,0.5694,0.4727,1,1,5,"core"
"rawben_rel_max >=    0.648 & rawben_rel_max <    0.992 & total_deductions_by_hh_size >= 1030.000 & utilities <  369.000","1","national","xgboost","any_error",42,0.619,0.4409,2,2,6,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size <= 679.00 & total_deductions_by_hh_size > 436.00 & unc_rawben_rel_max >   1.68","2-3","national","ranger","any_error",70,0.5714,0.4337,1,1,7,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national","ranger","any_error",105,0.5429,0.4305,3,3,8,"core"
"shelter_expenses_by_hh_size <= 455.0 & total_deductions_by_hh_size > 442.0 & unc_rawben_rel_max <=   0.8","4+","national","ranger","any_error",41,0.6098,0.4299,4,4,9,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,5,2,10,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 312.000 & utilities < 475.000","1","national","xgboost","any_error",290,0.4931,0.4256,4,1,11,"core"
"medical_deductions <= 144.00 & shelter_expenses_by_hh_size >   5.50 & unc_rawben_rel_max >   1.95 & utilities <= 294.00","1","national","ranger","any_error",64,0.5625,0.419,1,1,12,"core"
"medical_deductions >=   5.000 & medical_deductions <   7.000 & rawben_rel_max <   0.753 & utilities >= 347.000","1","national","xgboost","any_error",40,0.6,0.4186,1,1,13,"core"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national","ranger","any_error",110,0.5273,0.4179,6,5,14,"core"
"rawben_rel_max >   0.993 & total_deductions_by_hh_size <= 911.000 & unc_rawben_rel_max >   1.930 & utilities <= 552.000","1","national","ranger","any_error",152,0.5,0.4073,4,1,15,"core"
"months_since_cert_n >=  11 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 261","4+","national","xgboost","any_error",43,0.5814,0.4071,2,2,16,"core"
"medical_deductions >= 195.000 & medical_deductions < 264.000 & rawben_rel_max >=   0.386 & unc_rawben_rel_max >=   0.392","2-3","national","xgboost","any_error",37,0.5946,0.4068,1,1,17,"core"
"HH_size_n >  5.500 & months_since_cert_n > 10.500 & rawben_rel_max <=  0.952 & shelter_expenses_by_hh_size <= 92.000","4+","national","ranger","any_error",38,0.5789,0.3945,1,1,18,"core"
"HH_size_n <=  11.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 490.000","4+","national","ranger","any_error",36,0.5833,0.3939,2,1,19,"core"
"medical_deductions >= 201.00 & months_since_cert_n <  18.00 & rawben_rel_max >=   0.32 & utilities < 462.00","2-3","national","xgboost","any_error",57,0.5439,0.3934,1,1,20,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & rawben_rel_max <= 0.998","4+","national","ranger","any_error",34,0.5882,0.3934,1,1,21,"core"
"HH_size_n > 5.50 & rawben_rel_max <= 0.58","4+","state","ranger","any_error",30,0.6,0.3926,30,30,22,"core"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national","ranger","any_error",209,0.4641,0.3858,4,1,23,"core"
"medical_deductions > 105.00 & months_since_cert_n >   0.50 & unc_rawben_rel_max >   2.58","1","national","ranger","any_error",39,0.5641,0.383,1,1,24,"core"
"cat_elig >   0.5 & medical_deductions > 176.0 & total_deductions_by_hh_size > 339.0 & utilities <= 428.0","2-3","national","ranger","any_error",39,0.5641,0.383,2,1,25,"core"
"cat_elig >   0.500 & rawben_rel_max >   0.997 & unc_rawben_rel_max >   1.620 & utilities <= 856.000","2-3","national","ranger","any_error",147,0.4762,0.3829,2,1,26,"core"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.87 & utilities < 369.00","1","national","xgboost","any_error",143,0.4755,0.3811,4,2,27,"core"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",106,0.4906,0.3809,1,1,28,"core"
"count_divisible_by_100 >   0.50 & months_since_cert_n <=   5.50 & shelter_expenses_by_hh_size > 281.00 & unc_rawben_rel_max >   1.47","2-3","national","ranger","any_error",35,0.5714,0.3805,1,1,29,"core"
"expedited_i >   0.500 & rawben_rel_max <=   0.778 & total_deductions_by_hh_size > 988.000","1","national","ranger","any_error",50,0.54,0.3803,1,1,30,"core"
"HH_size_n >=   5 & shelter_expenses_by_hh_size < 342 & total_deductions_by_hh_size >= 320","4+","national","xgboost","any_error",50,0.54,0.3803,4,2,31,"core"
"HH_size_n > 5.500 & rawben_rel_max <= 0.618","4+","state","ranger","any_error",33,0.5758,0.3793,33,3,32,"core"
"months_since_cert_n <  22.000 & rawben_rel_max <   0.727 & total_deductions_by_hh_size >= 577.000 & utilities < 415.000","2-3","national","xgboost","any_error",66,0.5152,0.3764,2,1,33,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size >  26.2 & total_deductions_by_hh_size > 284.0","4+","national","ranger","any_error",42,0.5476,0.374,2,1,34,"core"
"children_i >=   1.00 & elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 484.00 & unc_rawben_rel_max >=   1.39","2-3","national","xgboost","any_error",40,0.55,0.3722,1,1,35,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national","xgboost","any_error",364,0.4286,0.3697,12,6,36,"core"
"elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.490","2-3","national","ranger","any_error",95,0.4842,0.3691,1,1,37,"core"
"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 646.000 & utilities < 277.000","1","national","xgboost","any_error",345,0.429,0.3686,5,1,38,"core"
"months_since_cert_n >=   16.00 & shelter_expenses_by_hh_size < 1340.00 & unc_rawben_rel_max >=    1.55 & utilities <  483.00","1","national","xgboost","any_error",131,0.4656,0.3677,6,1,39,"core"
"months_since_cert_n >   1.500 & shelter_expenses_by_hh_size <= 308.000 & total_deductions_by_hh_size > 143.000 & unc_rawben_rel_max <=   0.715","4+","state","ranger","any_error",34,0.5588,0.3666,34,28,40,"core"
"HH_size_n >= 3.00 & months_since_cert_n >= 2.00 & percent_abawd < 0.25 & unc_rawben_rel_max >= 1.51","2-3","national","xgboost","any_error",45,0.5333,0.3663,1,1,41,"core"
